24255		6
18332		3
14588		11
13014		6 11
10760		3 6
8028		1
6430		3 11
5759		3 6 11
5329		1 6
3652		1 11
3535		7
3507		218
3448		1 6 11
3424		1 3
3165		4
3101		6 218
2998		6 7
2899		27
2813		148
2642		55
2627		6 148
2457		11 218
2430		6 27
2422		6 11 218
2378		148 218
2342		1 3 6
2313		6 148 218
2292		7 11
2245		11 148
2236		6 7 11
2231		6 11 148
2044		11 148 218
2037		6 11 148 218
1955		64
1850		11 27
1814		4 6
1807		6 11 27
1771		77
1745		2
1627		6 64
1612		7 27
1610		3 7
1582		6 55
1576		1 3 11
1556		3 218
1529		6 77
1509		6 7 27
1498		1 3 6 11
1427		3 4
1384		3 6 218
1361		3 6 7
1359		138
1331		3 27
1326		294
1305		1 218
1261		11 64
1258		83
1234		7 11 27
1233		3 148
1231		6 11 64
1227		6 7 11 27
1225		1 6 218
1223		11 77
1207		6 11 77
1204		3 55
1175		2 6
1169		1 148
1158		3 6 148
1158		6 83
1127		1 6 148
1114		3 6 27
1114		6 138
1109		4 11
1108		3 11 218
1094		3 6 11 218
1090		316
1060		1 148 218
1058		3 7 11
1056		1 11 218
1052		1 6 11 218
1040		3 148 218
1037		1 6 148 218
1029		3 6 7 11
1021		1 11 148
1018		1 6 11 148
1014		3 6 148 218
1002		3 11 148
997		136
995		3 6 11 148
989		1 7
979		4 6 11
962		90
961		11 55
952		40
950		1 11 148 218
950		446
949		1 6 11 148 218
937		6 90
925		11 83
919		69
915		6 11 83
907		3 11 148 218
904		3 6 11 148 218
899		3 64
898		6 136
890		215
888		6 316
886		1 6 7
881		6 40
880		303
873		205
868		6 11 55
856		3 11 27
848		490
846		3 4 6
839		2 11
835		6 69
832		3 6 11 27
828		1 27
825		11 90
824		11 138
822		6 11 90
811		3 77
809		2 3
804		6 11 138
797		2 6 11
792		6 446
792		87
790		6 205
788		6 303
785		6 294
777		278
772		438
763		3 6 64
762		6 215
752		6 438
751		269
747		3 7 27
741		135
738		1 6 27
731		3 6 55
729		1 7 11
729		6 87
727		6 135
723		1 6 7 11
716		73
706		11 136
706		7 87
701		987
700		3 6 7 27
698		6 11 136
696		11 316
696		11 40
687		6 11 40
687		3 6 77
686		11 69
679		6 11 316
679		6 11 69
669		11 438
666		6 11 438
665		6 7 87
658		7 218
657		737
652		273
651		1 64
648		11 303
646		11 205
645		6 987
642		6 11 303
642		6 11 205
641		3 294
636		6 7 218
636		11 135
635		6 11 135
635		56
629		11 446
627		7 83
622		6 278
619		11 215
617		6 11 446
617		1 11 27
613		6 7 83
612		6 11 215
612		6 56
610		1 6 11 27
610		6 269
607		27 205
606		7 148
600		314
599		11 87
595		6 11 87
591		1 77
591		897
588		6 7 148
588		6 737
587		1 6 64
587		7 205
587		504
584		1 4
583		3 11 64
583		3 138
581		3 7 11 27
575		3 6 7 11 27
574		6 27 205
571		27 87
570		3 6 11 64
568		6 273
560		1 3 218
556		3 83
553		6 7 11 218
553		7 11 218
552		7 11 87
550		6 7 11 87
550		2 3 6
550		1 6 77
549		1 55
548		6 7 205
546		6 897
545		3 11 77
542		7 148 218
542		6 27 87
541		11 56
540		6 314
540		25
538		3 6 11 77
538		6 11 56
536		7 27 87
535		7 11 148
532		6 7 148 218
531		6 7 11 148
530		7 897
529		6 504
527		3 4 11
524		1 3 6 218
523		27 218
523		6 25
522		11 987
516		6 11 987
516		3 6 83
511		6 7 27 87
510		512
510		91
508		6 27 218
502		148 987
501		64 218
501		11 278
501		3 316
501		1 138
500		364
499		6 490
498		1 7 27
496		1 3 148
495		6 7 897
494		49
492		6 148 987
488		27 83
488		6 364
487		6 7 11 148 218
487		7 11 148 218
486		3 6 138
486		1 11 64
486		6 512
484		6 64 218
484		6 11 278
482		6 7 11 83
482		7 11 83
481		11 27 205
481		6 27 83
480		6 11 27 205
480		1 6 11 64
480		1 6 7 27
480		1 3 6 148
478		7 27 205
475		11 737
473		3 4 6 11
473		1 11 77
473		27 148
472		6 11 737
472		14
470		1 6 11 77
470		6 49
469		11 273
469		11 269
469		1 90
466		77 218
465		11 27 87
463		6 11 27 87
463		32
462		6 27 148
461		155
459		6 11 273
459		90 218
458		1 3 11 218
458		1 6 90
457		1 3 6 11 218
457		6 11 269
457		1 6 138
456		7 11 205
455		6 77 218
455		6 11 25
455		11 25
454		6 7 11 205
454		11 27 218
453		6 11 27 218
453		11 294
452		6 7 27 205
452		6 90 218
452		7 278
449		1 3 148 218
447		11 512
447		254
446		64 148
445		1 3 7
445		11 897
445		3 136
444		6 11 512
444		6 155
441		6 11 897
441		11 314
440		1 3 11 148
439		1 3 6 11 148
439		7 11 27 87
439		11 148 987
438		1 3 6 148 218
438		6 11 148 987
438		6 11 314
438		6 254
437		6 7 11 27 87
437		3 11 55
436		27 278
435		27 148 218
435		77 148
434		6 64 148
432		6 73
432		3 69
429		7 27 83
428		6 27 148 218
428		6 77 148
428		3 446
428		423
427		378
427		361
426		90 148
426		229
424		6 7 27 83
423		6 11 27 148
423		11 27 148
423		1 2
422		6 7 278
422		11 504
420		6 90 148
420		6 32
420		6 14
419		6 11 504
419		6 11 294
419		1 11 90
419		27 897
419		11 364
418		6 11 364
418		3 11 83
417		1 6 11 90
417		6 423
416		64 148 218
415		11 90 218
415		6 27 278
415		7 32
414		6 11 90 218
414		6 11 64 218
414		3 6 11 83
414		11 64 218
413		1 6 7 11 27
413		1 7 11 27
413		28
412		7 11 897
412		6 11 49
412		11 49
412		6 229
412		3 40
410		90 148 218
410		3 90
409		3 6 316
408		6 7 11 897
406		6 64 148 218
405		1 3 6 11 148 218
405		1 3 11 148 218
405		6 361
404		6 90 148 218
404		3 6 136
404		670
402		11 90 148
402		1 136
401		6 11 90 148
400		3 6 90
400		667
399		7 27 897
399		1 83
398		6 11 254
398		218 987
398		11 254
397		6 11 27 148 218
397		11 27 148 218
397		3 215
396		1 3 6 7
394		11 77 218
394		6 11 155
394		3 6 69
394		11 155
393		6 11 27 83
393		3 6 11 55
393		11 27 83
393		1 6 55
392		6 11 77 218
392		6 27 897
391		1 4 6
391		28 32
390		6 218 987
390		640
389		6 7 32
388		7 11 27 205
388		77 148 218
388		11 77 148
388		3 6 40
388		2 3 11
388		6 378
387		6 7 11 27 205
387		6 11 77 148
387		6 11 64 148
387		11 64 148
387		6 28
386		11 90 148 218
386		1 303
385		6 11 90 148 218
385		6 77 148 218
385		1 6 83
385		3 205
384		7 28
384		747
383		379
382		3 490
381		7 28 32
381		1 6 136
381		11 423
381		46
380		6 11 423
380		1 3 27
380		321
379		27 49
378		3 6 294
378		6 667
377		6 747
376		21
375		1 11 138
374		2 3 6 11
373		138 218
372		6 7 27 897
372		1 6 11 138
372		6 28 32
370		3 11 138
369		1 6 303
369		25 218
369		86
368		3 6 446
368		218 303
367		6 25 218
367		6 670
366		6 11 64 148 218
366		11 64 148 218
366		6 7 28
366		6 379
366		230
365		7 27 278
365		6 27 49
365		6 46
364		7 77
364		1 40
363		6 7 28 32
363		6 138 218
362		6 218 303
362		85
361		3 6 11 138
361		7 11 278
360		11 361
359		6 7 11 278
359		255
358		11 229
356		6 11 361
355		6 11 229
355		3 87
354		7 27 218
354		3 11 90
354		6 255
354		6 21
353		11 77 148 218
353		11 27 278
353		148 303
353		1644
352		6 11 77 148 218
352		6 11 27 278
352		3 6 11 90
352		6 7 77
352		3 303
351		218 255
351		6 85
350		6 7 27 278
350		916
350		644
349		1 6 40
349		6 640
349		6 321
349		1 446
349		1 438
348		6 148 303
348		3 6 205
348		7 85
347		6 7 27 218
347		148 218 987
347		6 218 255
347		1 6 438
346		11 32
346		6 230
344		259
343		6 11 32
343		6 7 85
343		3 6 215
343		25 148
343		6 86
342		6 7 11 27 83
342		7 11 27 83
342		6 25 148
341		6 148 218 987
341		1 2 6
341		3 278
340		3 438
339		25 148 218
339		6 1644
338		6 25 148 218
338		148 218 255
338		148 255
338		7 64
337		138 148
337		3 73
337		1 316
336		6 148 218 255
