793568		10
793512		11
793430		3
793166		4
793118		4 11
793091		10 11
793072		3 11
793067		3 10
793023		3 4
792978		3 4 11
792772		4 10
792752		4 10 11
792736		3 10 11
792662		3 4 10
792642		3 4 10 11
786177		5
785503		2
785027		5 11
784687		4 5
784678		5 10
784654		3 5
784643		4 5 11
784625		5 10 11
784610		3 5 11
784564		3 4 5
784520		3 4 5 11
784314		4 5 10
784298		3 5 10
784294		4 5 10 11
784278		3 5 10 11
784208		3 4 5 10
784188		3 4 5 10 11
767213		14
767168		11 14
767099		3 14
767073		4 14
767058		3 11 14
767032		4 11 14
767024		3 4 14
766983		3 4 11 14
766841		10 14
766821		10 11 14
766753		3 10 14
766733		3 10 11 14
766712		4 10 14
766692		4 10 11 14
766678		3 4 10 14
766658		3 4 10 11 14
763552		5 14
763508		5 11 14
763454		3 5 14
763414		3 5 11 14
763412		4 5 14
763379		3 4 5 14
763372		4 5 11 14
763339		3 4 5 11 14
763197		5 10 14
763177		5 10 11 14
763113		3 5 10 14
763093		3 5 10 11 14
763068		4 5 10 14
763048		4 5 10 11 14
763038		3 4 5 10 14
763018		3 4 5 10 11 14
742735		2 12
742735		12
738202		9
735513		2 9
728032		17
727974		11 17
727911		10 17
727909		10 11 17
727655		4 17
727652		4 11 17
727635		4 10 17
727633		4 10 11 17
727610		3 17
727607		3 11 17
727607		3 10 17
727605		3 10 11 17
727534		3 4 17
727531		3 4 11 17
727531		3 4 10 17
727529		3 4 10 11 17
726898		5 17
726858		5 11 17
726795		5 10 17
726793		5 10 11 17
726543		4 5 17
726540		4 5 11 17
726523		4 5 10 17
726521		4 5 10 11 17
726499		3 5 17
726496		3 5 11 17
726496		3 5 10 17
726494		3 5 10 11 17
726424		3 4 5 17
726421		3 4 5 11 17
726421		3 4 5 10 17
726419		3 4 5 10 11 17
710042		2 9 12
710042		9 12
709982		14 17
709975		11 14 17
709965		10 14 17
709963		10 11 14 17
709883		3 14 17
709880		3 11 14 17
709880		3 10 14 17
709878		3 10 11 14 17
709856		4 14 17
