54430		27
53351		53
51911		112
42902		21
38714		2
35126		98
33748		57
30066		113
29526		81
29159		27 53
25131		128
24403		52
21461		172
21139		157
20842		7
20813		5
20265		21 98
19316		76
18970		112 157
18695		165
18525		106
17037		1
16998		200
16261		3
15637		174
15134		7 200
14559		4
14333		228
14142		130
14136		53 174
13793		106 112
13280		94
13146		51
12981		309
12708		151
12472		158
12125		29
12014		173
11697		13
11689		100
11401		351
11218		349
11093		3 4
10962		83
10831		107
10425		15
9975		18
9880		65
9860		53 172
9798		153
9760		780
9752		172 173
9590		27 165
9532		112 113
9512		272
9505		13 15 18
9505		15 18
9505		13 18
9505		13 15
9402		322
9326		177
9180		193
9146		415
9120		706
9119		82
8447		114
8385		66
8334		98 112
8295		21 112
8234		50
8205		49
8189		51 53
8185		123
8153		53 165
8045		9
8001		707
8000		63
7816		53 173
7793		115
7609		57 112
7592		1 2
7587		36
7561		1 4
7559		368
7381		80
7294		27 53 165
7216		46
7205		160
7141		277
7051		378
6959		21 98 112
6944		268
6910		129
6899		697
6892		114 115
6874		105
6850		2 3
6777		178
6763		508
6751		149
6598		53 172 173
6573		1 3
6478		152
6436		53 415
6418		144
6413		81 158
6396		1 3 4
6391		57 128
6391		27 51
6351		44
6282		53 351
6273		426
6207		38
6193		530
6137		332
6123		374
6115		164
6107		30
6032		146
6022		27 53 697
6022		53 697
6022		27 697
5955		175
5951		172 173 175
5951		173 175
5951		172 175
5882		44 112
5871		37
5816		2 3 4
5816		2 4
5802		106 112 113
5802		106 113
5772		113 780
5714		2 53
5653		53 780
5635		236
5596		27 415
5567		61
5496		27 53 415
5465		17
5399		27 780
5253		88
5197		27 172
5185		166
5182		2 309
5166		335
5130		290
5102		27 51 53
5100		120
5093		27 53 172
5075		190
5048		224
5046		316
5023		12
5021		81 112
5017		2 5
4997		69
4984		2 277
4953		144 201
4953		201
4944		27 53 780
4944		31
4932		658
4884		232
4857		53 174 351
4857		174 351
4797		209
4771		494
4764		327
4763		573
4735		1 2 3
4734		126
4732		52 106
4722		2 228
4673		189
4666		109
4632		27 113
4627		262
4622		33
4609		1 2 3 4
4609		1 2 4
4555		385
4551		78 80
4551		78
4543		53 172 173 174
4543		172 173 174
4543		53 173 174
4543		53 172 174
4543		173 174
4543		172 174
4491		57 157
4461		78 79 80
4461		79 80
4461		78 79
4461		79
4460		53 113
4441		172 178
4388		57 177
4341		486
4309		126 128
4309		214
4302		294
4283		272 349
4267		295
4238		227
4165		384
4147		482
4143		463
4132		1311
4129		2330
4102		328
4075		257
4073		27 57
4054		341
4050		202
4045		108
4005		112 190
3998		810
3974		61 257
3968		53 172 173 175
3968		53 173 175
3968		53 172 175
3968		53 175
3958		53 113 780
3921		58
3902		355
3878		289
3854		4 29
3829		112 177
3825		545
3816		17 32
3816		171
3816		32
3807		27 98
3806		53 174 351 352
3806		174 351 352
3806		53 351 352
3806		53 174 352
3806		351 352
3806		174 352
3806		53 352
3806		352
3804		284
3801		53 57
3751		271
3744		444
3733		272 349 350
3733		349 350
3733		272 350
3733		350
3704		27 113 780
3698		31 33
3696		165 172
3655		308
3644		103
3630		21 157
3621		1354
3608		43
3604		376
3577		2 153
3540		1354 1998
3540		1998
3534		127
3534		117
3516		572
3507		27 351
3501		549
3499		165 271
3470		207
3448		2 53 277
3448		53 277
3440		27 173
3389		225
3376		21 57
3364		483
3360		63 109
3358		301
3357		7 658
3352		407
3347		57 2330
3341		243
3324		127 129 130
3324		129 130
3324		127 130
3324		127 129
3317		27 53 113
3293		112 158
3289		57 112 157
3273		27 53 173
3270		689
3267		83 225
3265		157 177
3252		27 100
3252		25
3249		27 53 113 780
3249		197
3242		27 1311
3238		1026
3213		1 309
3211		24
3209		372
3202		219
3183		63 108
3178		601
3176		605
3171		170
3166		81 112 158
3165		53 171
3160		347
3155		94 374
3150		94 384 1996
3150		384 1996
3150		94 1996
3150		94 384
3150		1996
3130		876
3126		210
3119		165 706
3112		105 112
3109		519
3108		520
3107		519 520
3084		52 53
3063		131
3056		63 108 109
3056		108 109
3052		83 225 706 791
3052		225 706 791
3052		83 706 791
3052		83 225 791
3052		83 225 706
3052		706 791
3052		225 791
3052		225 706
3052		113 172
3052		83 791
3052		83 706
3052		791
3045		299
3044		172 697
3043		27 151
3040		371
3035		57 1026
3026		128 573
3018		107 113
2992		311
2980		1 5
2958		324
2940		463 494
2914		154
2908		98 130
2908		145
2907		133
2894		465
2870		231
2861		351 494
2860		144 193 201
2860		193 201
2860		144 193
